OBJECTID,DESCRIPTION,ID,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
448,90212 (Beverly Hills),90212,2209,20.7,20.7,3456250.0,9132.921549218636,1756054193073,Synapse54,1756054193073,Synapse54
449,90220 (Compton),90220,13212,27.1,27.1,26670000.0,26278.341178066632,1756054193073,Synapse54,1756054193073,Synapse54
450,90221 (Compton),90221,14513,28.9,28.9,20546250.0,30704.222675775596,1756054193073,Synapse54,1756054193073,Synapse54
451,90222 (Compton),90222,9029,28.63,28.63,9812500.0,15082.427126403216,1756054193073,Synapse54,1756054193073,Synapse54
452,90230 (Culver City),90230,6230,19.76,19.76,13540000.0,23852.03509703816,1756054193073,Synapse54,1756054193073,Synapse54
453,90232 (Culver City),90232,3343,18.7,18.7,8846250.0,20569.320546472754,1756054193073,Synapse54,1756054193073,Synapse54
454,90240 (Downey),90240,5550,22.84,22.84,11008750.0,16046.5324903168,1756054193073,Synapse54,1756054193073,Synapse54
455,90241 (Downey),90241,10074,23.97,23.97,18818750.0,26209.754460046563,1756054193073,Synapse54,1756054193073,Synapse54
456,90242 (Downey),90242,10192,23.67,23.67,17316250.0,24176.05001918894,1756054193073,Synapse54,1756054193073,Synapse54
457,90245 (El Segundo),90245,3630,21.59,21.59,20489078.9453125,21290.512807961102,1756054193073,Synapse54,1756054193073,Synapse54
458,90247 (Gardena),90247,10241,21.54,21.54,13956250.0,18524.930291328696,1756054193073,Synapse54,1756054193073,Synapse54
459,90248 (Gardena),90248,2047,19.03,19.03,16600000.0,29520.36402804825,1756054193073,Synapse54,1756054193073,Synapse54
460,90249 (Gardena),90249,5520,20.91,20.91,11110000.0,15491.694499783222,1756054193073,Synapse54,1756054193073,Synapse54
461,90250 (Hawthorne),90250,22628,23.9,23.9,25368750.0,28851.36344786999,1756054193073,Synapse54,1756054193073,Synapse54
462,90254 (Hermosa Beach),90254,3676,19.44,19.44,5741250.0,10335.552881463193,1756054193073,Synapse54,1756054193073,Synapse54
463,90255 (Huntington Park),90255,18764,27.4,27.4,14255000.0,26085.551407584615,1756054193073,Synapse54,1756054193073,Synapse54
464,90260 (Lawndale),90260,7572,23.58,23.58,9605000.0,17402.683123305447,1756054193073,Synapse54,1756054193073,Synapse54
465,90262 (Lynwood),90262,17234,27.47,27.47,18086556.6640625,26857.017283522808,1756054193073,Synapse54,1756054193073,Synapse54
466,90263 (Malibu),90263,1565,79.72,79.72,890000.0,4836.364924674755,1756054193073,Synapse54,1756054193073,Synapse54
467,90265 (Malibu),90265,3018,23.0,23.0,358065000.0,160105.19551106927,1756054193073,Synapse54,1756054193073,Synapse54
468,90266 (Manhattan Beach),90266,7564,22.19,22.19,15016250.0,18024.215173107365,1756054193073,Synapse54,1756054193073,Synapse54
469,90270 (Maywood),90270,6777,28.75,28.75,4438750.0,12108.120723799591,1756054193073,Synapse54,1756054193073,Synapse54
470,90272 (Pacific Palisades),90272,2436,21.14,21.14,93533750.0,48353.98962394359,1756054193073,Synapse54,1756054193073,Synapse54
471,90274 (Palos Verdes Peninsula),90274,5132,20.57,20.57,45242500.0,67826.04698995463,1756054193073,Synapse54,1756054193073,Synapse54
472,90275 (Rancho Palos Verdes),90275,8541,20.89,20.89,50560467.390625,74858.19724477628,1756054193073,Synapse54,1756054193073,Synapse54
473,90277 (Redondo Beach),90277,6524,17.99,17.99,13728660.71484375,28384.916700767837,1756054193073,Synapse54,1756054193073,Synapse54
474,90278 (Redondo Beach),90278,8431,20.7,20.7,13486250.0,19494.564275167202,1756054193073,Synapse54,1756054193073,Synapse54
