OBJECTID,admin4_name,admin3_name,admin2_name,id,MILLENN_CY,MILLENN_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
2365,46962 (North Manchester),Wabash County,Indiana,86266586fffffff,63,19.94,19.94,63175000.0,29605.51367997309,1758492393705,Synapse54,1758492393705,Synapse54
2366,46733 (Decatur),Adams County,Indiana,862a960c7ffffff,919,22.74,22.74,63197500.0,29614.670766127572,1758492393705,Synapse54,1758492393705,Synapse54
2367,46982 (Silver Lake),Wabash County,Indiana,862665877ffffff,79,21.35,21.35,63718750.0,29733.707317744967,1758492393705,Synapse54,1758492393705,Synapse54
2368,46733 (Decatur),Adams County,Indiana,862a960cfffffff,327,21.14,21.14,62969999.9921875,29560.000782515734,1758492393705,Synapse54,1758492393705,Synapse54
2369,46975 (Rochester),Fulton County,Indiana,862665887ffffff,1737,21.73,21.73,63672499.9921875,29721.451739197415,1758492393705,Synapse54,1758492393705,Synapse54
2370,46733 (Decatur),Adams County,Indiana,862a960d7ffffff,154,20.87,20.87,62969999.99609375,29560.000782515734,1758492393705,Synapse54,1758492393705,Synapse54
2371,46975 (Rochester),Fulton County,Indiana,86266588fffffff,50,17.36,17.36,63423749.9921875,29667.86078829511,1758492393705,Synapse54,1758492393705,Synapse54
2372,46733 (Decatur),Adams County,Indiana,862a960dfffffff,110,20.26,20.26,62742500.0,29505.90335543218,1758492393705,Synapse54,1758492393705,Synapse54
2373,46975 (Rochester),Fulton County,Indiana,8626658a7ffffff,81,21.72,21.72,63500000.0,29686.121742292693,1758492393705,Synapse54,1758492393705,Synapse54
2374,46733 (Decatur),Adams County,Indiana,862a960e7ffffff,1373,23.0,23.0,63405000.0,29658.921099652096,1758492393705,Synapse54,1758492393705,Synapse54
2375,46975 (Rochester),Fulton County,Indiana,8626658afffffff,121,19.45,19.45,63500000.0,29686.121742292693,1758492393705,Synapse54,1758492393705,Synapse54
2376,46733 (Decatur),Adams County,Indiana,862a960efffffff,614,20.13,20.13,63037499.99609375,29575.245797232164,1758492393705,Synapse54,1758492393705,Synapse54
2377,46951 (Macy),Miami County,Indiana,8626658c7ffffff,46,19.01,19.01,63235000.0078125,29626.921168629633,1758492393705,Synapse54,1758492393705,Synapse54
2378,46733 (Decatur),Adams County,Indiana,862a960f7ffffff,127,19.97,19.97,63542500.0,29699.11392907079,1758492393705,Synapse54,1758492393705,Synapse54
2379,46926 (Denver),Miami County,Indiana,8626658cfffffff,98,19.37,19.37,63337499.99609375,29645.81771113289,1758492393705,Synapse54,1758492393705,Synapse54
2380,46797 (Woodburn),Allen County,Indiana,862a96107ffffff,61,20.54,20.54,63795000.0,29753.016052159343,1758492393705,Synapse54,1758492393705,Synapse54
2381,46951 (Macy),Miami County,Indiana,8626658d7ffffff,109,18.2,18.2,63306249.99609375,29639.256075065256,1758492393705,Synapse54,1758492393705,Synapse54
2382,45880 (Payne),Paulding County,Ohio,862a9610fffffff,53,20.54,20.54,63848750.0,29766.86153911639,1758492393705,Synapse54,1758492393705,Synapse54
2383,46926 (Denver),Miami County,Indiana,8626658dfffffff,94,19.83,19.83,62987500.00390625,29566.683937147056,1758492393705,Synapse54,1758492393705,Synapse54
2384,46774 (New Haven),Allen County,Indiana,862a96117ffffff,196,19.68,19.68,63795000.0,29753.016052159343,1758492393705,Synapse54,1758492393705,Synapse54
2385,46951 (Macy),Miami County,Indiana,8626658e7ffffff,64,20.32,20.32,63148750.00390625,29606.91977984339,1758492393705,Synapse54,1758492393705,Synapse54
2386,46797 (Woodburn),Allen County,Indiana,862a9611fffffff,77,18.6,18.6,63795000.0,29753.016052159343,1758492393705,Synapse54,1758492393705,Synapse54
2387,46951 (Macy),Miami County,Indiana,8626658efffffff,56,19.65,19.65,63337499.99609375,29645.81771113289,1758492393705,Synapse54,1758492393705,Synapse54
